Respondent Id,Q7,Q10,Q12,Q15,Q16,Extra remarks
54,Interesting coarse,Less pressure than other methods of delivery and testing,Easier means of assessment,Make prices for coins more valuable,,
55,,I think it was a bit unorganized and the end was very rushed,,,"It would be better if it were mor eorganized (handouts, schedule at end of semester)",
56,,,,,,
57,Its okay,good  ,Too many  ,I don’t really care about coins,"Too many projects at the end, have them spread out",
58,,,,,,
59,,,,The XP Is only renaming  %,I like the assignment heavy no exam style,
60,,,,I love this style because you do what you can,,
61,,"Having class activities makes it a little easier to apply the learning to ""real life"" scenarios",I like the in class quizzes and being able to use curate sheets,I like that it is optional,I enjoyed this way of learning,
62,,,,,,
63,,,,It is a good idea,I enjoyed it,
64,,,,,,
65,,,,,,
66,,No,No,no  ,Not really,I identify as a helicopter (in gender question)
67,,,,,I enjoyed it because it was way less stressful especially at the end of the semester when all my other work was piling up. It helped to know I had already passed a course.,
68,,,,,,
69,I live that the course is gamified but I don't proper focussing on a single topic. The class was still made enjoyable and very well taught,,,,,
70,,I like the lectures,Like em,I like that I can compare my grade to the whole class,,
71,,Enjoy the style of course but the end seems rushed to gain XP,,Didn't get one  so I don’t know,"Don't like how people can go through my submissions (paper copy), would prefer electronic submissions",
72,,,,,,
73,,,,,,
74,,I really dislike all the demonstrations. I find they are a waste of time and I don't learn very much. The concepts are simple and don't reflect the difficulty within the assignments and challenges. I don't feel demonstrations help me learn at all.,,,,I really enjoyed Youtube videos
75,Pick something actually happening that we can follow and observe,"I feel there should have been more time for questions/ on topic conversations less time an games (didn't help me learn, was fun, but no academic benefit)",See mare Jerry copy his outline,don't insentivise,Stephanie is great but the course structure was over ambicious and missed the mark,"2 mid terms, 1 final and 3 major assignments that mimik exams that can be completed in groups of 1-2 people. Its 2019, this does not impact my opinion being a female or my age is not going to be a deciding factor in how I experience this course. I dislike being asked this."
76,"Making ECON 101 gamified with the overarching narrative of Alberta's independancce brought me to understand how economics worked and gave me insight on who to vote for , for the next provincial election in Alberta",,,,,
77,,Really good concept enjoyed more that I thought . Good time management,,Not doing for rewards bu for the marks,"Like the idea of do the work, and you should pass",
78,,,,,,
79,,,,,,
80,,,Liked that there was no final but wish there were more smaller quizzez through out the chapters,Didn't really care about the rewards just wanted to do very best,,
81,,,,,,
82,,,,,,
83,,,,,,
84,,,,,,
85,,"Because the class was so large, the in-class activities were sometimes hard to follow",There was an excess of assignments in this course,Didn't at time feel rewarded for y efforts appropriately which made my effort change,Was hard to know where it stood at times,There is a lot of info to get through. Maybe too much?
86,,,,,,
87,,,,,,
88,,,,,,
89,,,,,,
90,,Monopoly was fun,,,,
91,,,,,,
92,,,,,It might 've been an okay approach if we didn't fall behind and ended up having to complete 400 XP in the last month of class to get the grade we aimed for.,
93,,,,"Instead of coins hould have made something so coins count towards XP, more opportunitites to earn XP on different days of the week",I believe we should have been at atleast a 50 in the course by the middle of the semseter/ middle of levels. It makes these last few weeks very stressful,
94,,,,,,
95,"Not too bad, I like the structure with the curate sheets and assignments that follow",,,,Would rather have a normal course with exams,
96,,,,,"In the beginning she said you could pick your grade by putting in effort accordingly. That didn't work, I put tons of work in for an average mark.",
97,,,,,,
98,,,,"I didn't valve the rewards enough, I assume the same went for a lot of students",,
99,"I like the idea and I know Stehanie did her best to instruct but lectures felt rushed, there was too much content trying to follow this game which didn't allwo for enough absorbtion fo knowledge.",,,,,
100,,,,,,
101,Very enjoyable,,,,,
102,,,,,,
103,,,,,,
104,,,,,,
105,,,,,,
106,,,,,,
107,,,,,,
108,,,,,,
109,,,,,,
110,,,,,,
111,,,,,,
112,,,,,,
113,,,,,,
114,,,,,,
115,,,,,,
116,,,,,,
117,,,,,,
118,,,,,,
119,,,,,,
120,,,,,,
121,,,,,,
122,,,,,,
123,,,,,,
124,,,,,,
125,,,,,,
126,,,,,,
127,,,,,,
128,,,,,,
129,,,,,,
130,,,,,,
131,,,,,,
132,,,,,,
133,,,,,,
134,,,,,,
135,,,,,,
136,,,,,,
137,,,,,,
138,,,,,,
139,,,,,,
140,,,,,,
141,,,,,,
142,,,,,,
143,,,,,,
144,,,,,,
145,,,,,,
146,,,,,,
147,,,,,,
148,,,,,,
149,,,,,,
150,,,,,,
151,,,,,,
152,,,,,,
153,,,,,,
154,,,,,,
155,,,,,,
156,,,,,,
157,,,,,,
158,,,,,,
159,,,,,,
160,,,,,,
161,,,,,,
162,,,,,,
163,,,,,,
164,,,,,,
165,,,,,,
166,,,,,,
167,,,,,,
168,,,,,,
169,,,,,,
170,,,,,,
171,,,,,,
172,,,,,,
173,,,,,,
174,,,,,,
175,,,,,,
176,,,,,,
177,,,,,,
178,,,,,,
179,,,,,,
180,,,,,,
181,,,,,,
182,,,,,,
183,,,,,,
184,,,,,,
185,,,,,,
186,,,,,,
187,,,,,,
188,,,,,,
189,,,,,,
190,,,,,,
191,,,,,,
192,,,,,,
193,,,,,,
194,,,,,,
195,,,,,,
196,,,,,,
197,,,,,,
198,,,,,,
199,,,,,,
200,,,,,,
201,,,,,,
202,,,,,,
203,,,,,,
204,,,,,,
205,,,,,,
206,,,,,,
207,,,,,,
208,,,,,,
209,,,,,,
210,,,,,,
211,,,,,,
212,,,,,,
213,,,,,,
214,,,,,,
215,,,,,,
216,,,,,,
